Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_4,phase1,21,1,D1_3,2,2.3540108678481228e-08,2.2746043035138685e-24,0.9999999764598899
round_1,phase3,21,1,D1_3,2,0.0005847335945902081,0.0003079369198949486,0.9991073294855138
round_1,phase2,21,1,D1_3,2,4.3686424576983496e-11,1.490640129996721e-05,0.9999850935550131
round_1,phase1,21,1,D1_3,2,0.03522215721684629,2.9568359122797535e-08,0.9647778132147931
round_3,phase3,22,0,D1_3,0,0.977777967292992,0.009234663825183807,0.012987368881823067
round_3,phase2,22,0,D1_3,0,0.7559692480798061,0.10710437077582566,0.13692638114436895
round_3,phase1,22,0,D1_3,1,0.03745407524605845,0.9618328826904227,0.0007130420635203567
round_2,phase3,22,0,D1_3,2,5.83004615203152e-11,1.311067352940634e-06,0.9999986888743455
round_2,phase2,22,0,D1_3,2,1.7223309955837385e-05,0.002640201183973988,0.9973425755060709
round_2,phase1,22,0,D1_3,2,0.07707809508653757,0.45506289271566036,0.4678590121978029
round_4,phase3,22,0,D1_3,0,0.9914547775940227,0.001506718962705177,0.007038503443273021
round_4,phase2,22,0,D1_3,0,0.7134058545409241,0.24805128070052893,0.03854286475854806
round_4,phase1,22,0,D1_3,0,0.9975776446919968,6.126905885192205e-08,0.002422294038944429
round_1,phase3,22,0,D1_3,0,0.9934659005656197,2.818140716710218e-09,0.006534096616237701
round_1,phase2,22,0,D1_3,2,2.6272641331751975e-05,2.5457107033411277e-06,0.999971181647966
round_1,phase1,22,0,D1_3,2,0.05304248273360639,0.2777028924748983,0.6692546247914939
round_3,phase3,23,0,D1_3,1,0.0662136557351314,0.9190541462259504,0.014732198038918903
round_3,phase2,23,0,D1_3,1,0.01074875765193439,0.9668104250838646,0.022440817264201284
round_3,phase1,23,0,D1_3,0,0.9196818604685466,2.0714740498299352e-05,0.08029742479095678
round_2,phase3,23,0,D1_3,2,0.00037250211197826095,0.22519594385643302,0.774431554031589
round_2,phase2,23,0,D1_3,1,0.2110618946491609,0.7708782705691962,0.01805983478164276
round_2,phase1,23,0,D1_3,0,0.9927727459821029,1.983904497785589e-06,0.007225270113397723
round_4,phase3,23,0,D1_3,0,0.9987486575631226,3.137734203236191e-06,0.0012482047026731293
round_4,phase2,23,0,D1_3,0,0.7606526485649124,0.00024086335468253604,0.23910648808040527
round_4,phase1,23,0,D1_3,2,1.8221942959614452e-05,3.4994897394220356e-15,0.9999817780570373
round_1,phase3,23,0,D1_3,1,0.0008669531179765562,0.9287717849574364,0.07036126192458811
round_1,phase2,23,0,D1_3,2,3.495833485978006e-16,8.956779564634844e-12,0.9999999999910401
round_1,phase1,23,0,D1_3,0,0.9982719090263479,0.00037629991320039185,0.0013517910604515383
round_3,phase3,24,1,D1_3,1,0.17214589394911745,0.8261873261491736,0.001666779901708904
round_3,phase2,24,1,D1_3,1,0.02148377084010963,0.8777226778194608,0.10079355134042842
round_3,phase1,24,1,D1_3,2,3.3809349056569967e-15,9.097916912408311e-11,0.9999999999090186
round_2,phase3,24,1,D1_3,1,0.04873662209115523,0.9494871855021798,0.0017761924066654056
round_2,phase2,24,1,D1_3,1,0.09805266845230026,0.7520594798188778,0.14988785172882182
round_2,phase1,24,1,D1_3,2,7.457848032029064e-05,0.0022631798593582887,0.997662241660323
round_4,phase3,24,1,D1_3,0,0.9999774815752401,7.792550278360243e-09,2.2510632207925265e-05
round_4,phase2,24,1,D1_3,0,0.9727105696417699,0.004573836574492138,0.02271559378373725
round_4,phase1,24,1,D1_3,0,0.9992479437286383,2.9497271113630357e-09,0.0007520533216358998
round_1,phase3,24,1,D1_3,2,0.000219074202563305,0.00017616076206733441,0.9996047650353711
round_1,phase2,24,1,D1_3,2,0.038835310000500806,1.251775352227973e-06,0.9611634382241482
round_1,phase1,24,1,D1_3,1,0.32916250340499875,0.3729664070806309,0.2978710895143703
